respondent id,question code,comments,hide comment,language id,edited text,english translation,positive sentiment probability,neutral sentiment probability,negative sentiment probability,sentiment category
25386172,ent|action_teamleadership,"Semoga kedepan pimpinan disetiap unit dapat mensosialisasikan, mengarahkan dan membimbing terkait adanya perubahan - perubahan dalam rangka mendukung percepatan pencapaian kinerja.",FALSE,bi,,,0.4477678,0.48223284,0.0699994,neutral
25386172,rst|actions_systemsprocesses,"Smoga kedepan untuk peralatan, perangkat dan pelatihan lebih ditingkatkan lagi khususnya di Unit - unit pelaksana yang cukup terbatas saat ini",FALSE,bi,,,0.6164467,0.31741333,0.066140026,positive
25386172,rst|actions_skillsstaffing,Smoga kedepan agar lebih ditingkatkan lagi terkait training dan pelatihan utk meningkatkan pencapaian kinerja unit,FALSE,bi,,,0.747983,0.20688663,0.04513042,positive
25386172,ent|action_teamwork,Smoga kedepan semakin solid dan sinergis antar rekan kerja.,FALSE,bi,,,0.7493369,0.18182549,0.06883762,positive
25386172,ent|actions_accountability,Pada kondisi apapun kita harus tetao memperhatikan dan mengutamakan Akuntabilitas dalam setiap prosesnya,FALSE,bi,,,0.3848759,0.5893544,0.025769634,neutral
25386172,adt|action_vision,Semoga kedepan Program MIS dapat segera terealisasi sehingga tidak perlu aplikasi yg banyak dalam melndukung percepatan pencapaian kinerja unit dan perusahaan,FALSE,bi,,,0.7437792,0.19890659,0.057314232,positive
25386291,adt|action_vision,"Tidak ada, semua berjalan lancar",FALSE,bi,,,0.28520772,0.6989609,0.015831422,neutral
25386291,ent|action_teamleadership,Saya merasa Pimpinan di satuan kerja Saya sudah secara aktif mendemonstrasikan dukungan dan komitmen bagi implementasi program Management Information System (MIS) menuju Single Source of Truth (SSoT),FALSE,bi,,,0.34126198,0.64343375,0.015304294,neutral
25386291,rst|actions_systemsprocesses,Tidak ada.,FALSE,bi,,,0.021372072,0.9734982,0.00512962,neutral
25386291,rst|actions_skillsstaffing,Tidak ada.,FALSE,bi,,,0.021372072,0.9734982,0.00512962,neutral
25386291,ent|action_teamwork,"belum ada, di unit saya sendiri tingkat kolaborasi di satuan kerja sangat tinggi.",FALSE,bi,,,0.65003675,0.30972797,0.04023526,positive
25386291,ent|actions_accountability,Tidak ada,FALSE,bi,,,0.021372072,0.9734982,0.00512962,neutral
25386571,adt|action_vision,Tambahkan Sie Komunikasi dan TJSL pada unit pelaksana agar awareness mengenai Visi Misi dapat secara optimal terimplementasikan,FALSE,bi,,,0.96095955,0.0248082,0.014232289,positive
25386697,ent|action_teamleadership,Sudah Baik,FALSE,bi,,,0.002833682,0.99630946,0.00085677,neutral
25386697,rst|actions_systemsprocesses,Sudah Baik,FALSE,bi,,,0.002833682,0.99630946,0.00085677,neutral
25386697,adt|action_vision,Semoga dengan adanya program Management Information System (MIS) menuju Single Source of Truth (SSoT) dapat meningkatkan kinerja perusahaan,FALSE,bi,,,0.1353941,0.8560391,0.008566794,neutral
25386783,ent|actions_accountability,saya belum tau terkait program Management Information System (MIS) menuju Single Source of Truth (SSoT),FALSE,bi,,,0.030681698,0.96403116,0.005287036,neutral
25386783,adt|action_vision,saya belum tau terkait program Management Information System (MIS) menuju Single Source of Truth (SSoT),FALSE,bi,,,0.030681698,0.96403116,0.005287036,neutral
25386783,ent|action_teamleadership,saya belum tau terkait program Management Information System (MIS) menuju Single Source of Truth (SSoT),FALSE,bi,,,0.030681698,0.96403116,0.005287036,neutral
25386783,rst|actions_systemsprocesses,saya belum tau terkait program Management Information System (MIS) menuju Single Source of Truth (SSoT),FALSE,bi,,,0.030681698,0.96403116,0.005287036,neutral
25386783,rst|actions_skillsstaffing,saya belum tau terkait program Management Information System (MIS) menuju Single Source of Truth (SSoT),FALSE,bi,,,0.030681698,0.96403116,0.005287036,neutral
25386783,ent|action_teamwork,saya belum tau terkait program Management Information System (MIS) menuju Single Source of Truth (SSoT),FALSE,bi,,,0.030681698,0.96403116,0.005287036,neutral
25386092,adt|action_vision,"Agar sistem yang dibuat lebih user friendly, handal dengan tingkat keamanan data yang terjamin.",FALSE,bi,,,0.99276614,0.004385562,0.002848315,positive
25386092,ent|action_teamleadership,"Agar pengelolaan talent pool lebih transparan, terstruktur dan sistematis.",FALSE,bi,,,0.87287974,0.11821942,0.008900843,positive
25385335,adt|action_vision,"Ada baik nya Informasi sistem didikelola atau di maintain dari 1 interface, untuk memudahkan user
user android, PC  ataupun IOS tidak ada perbedaan dalam mengakses",FALSE,bi,,,0.9852544,0.004515573,0.010229994,positive
25385335,ent|action_teamleadership,"terbuka dalam memberikan informasi dan juga sangat jelas dalam mendiskripsikan informasi, serta diberikan contoh yg mudah untuk dimengerti
",FALSE,bi,,,0.66416097,0.22088291,0.11495613,positive
25385335,rst|actions_systemsprocesses,"dikarenakan semua serba digital dan perlu mobile, diperlukan peralatan pendukung untuk menjalankan hal tersebut
untuk saat ini, device mobile sebagian besar milik pribadi terutama untuk staff",FALSE,bi,,,0.9102326,0.054723322,0.03504404,positive
25385335,rst|actions_skillsstaffing,"training seputar IT tentu sangat diperlukan, mengingat banyak jenis device yang digunakan oleh pegawai
training IT tentunya dilakukan dengan metode ivaluasi sehingga dapat diketahui seberapa pemahaman dari peserta ",FALSE,bi,,,0.9291077,0.05386653,0.017025772,positive
25385335,ent|action_teamwork,"di unit yg skrg mayoritas  anak muda, sehingga dengan mudah melakukan kolaborasi, karena perbedaan usia tidak terlalu jauh
menggungakan media sosial untuk berinteraksi merupakan hal yang sangat baik dalam membangun kolaborasi tim
perlu wadah juga untuk kolaborasi untuk membangun kedekatan personal baik di dalam maupun diluar lingkungan kantor",FALSE,bi,,,0.87671417,0.08078537,0.042500418,positive
25385335,ent|actions_accountability,"dengan manajemen informasi sistem, diharapkan ada percepatan penyampaian informasi dari Top sampai dengan staff, tanpa ada banyak distorsi
dan informasi yg diterima menjadi akurat sesuai harapan BOD
dengan ini juga diharapkan informasi dari bawah juga bisa dengan cepat sampai ke level BOD, tentunya dengan dashboard yg sudah di terapkan seperti sistem sebelumnya, misal : Dashboard APKT, dasboard sistem jamali",FALSE,bi,,,0.70663077,0.21038592,0.08298337,positive
25385329,adt|action_vision,Lanjutkan,FALSE,bi,,,0.00285165,0.9954152,0.001733052,neutral
25385329,ent|action_teamleadership,Lanjutkan,FALSE,bi,,,0.00285165,0.9954152,0.001733052,neutral
25385329,rst|actions_systemsprocesses,Lanjutkan,FALSE,bi,,,0.00285165,0.9954152,0.001733052,neutral
25385329,rst|actions_skillsstaffing,Lanjutkan,FALSE,bi,,,0.00285165,0.9954152,0.001733052,neutral
25385329,ent|action_teamwork,Lanjutkan,FALSE,bi,,,0.00285165,0.9954152,0.001733052,neutral
25385329,ent|actions_accountability,Lanjutkan,FALSE,bi,,,0.00285165,0.9954152,0.001733052,neutral
25386130,adt|action_vision,Selalu disosialisasikan untuk menjaga Awareness dari masing2 pegawai.,FALSE,bi,,,0.9611648,0.033059347,0.005775902,positive
