id,sentence_index,source_text,translated_text
46277,0,状元楼饭店第一次去，因为地理位置优越：在宁波市和义大道高、大、上，里面装修中式，菜是地道的宁波菜，口味纯正，醉泥螺特棒，吃到了小时候的味道，因为去了晚了，在大堂等了一会儿，期间有茶水喝、服务员还与你聊天，到了就餐时生意太好，服务员都是小跑状，服务态度绝对不提速，样样都服务到位，点酒水还耐心的与我们解释，就这样绝对要夸一夸，,"Zhuangyuanlou Hotel went for the first time, because of the geographical location: in Ningbo City and Yi Avenue high, big, on, inside the decoration of Chinese, the dish is authentic Ningbo cuisine, the taste is pure, drunk mud snail is particularly good, eat the taste of childhood, because I went late, waited in the lobby for a while, during which there is tea to drink, the waiter also chats with you, to the dining business is too good, the waiter is trotting, the service attitude is absolutely not speedy, everything is in place, the drink is also patiently explained to us, so it is absolutely necessary to boast, I"
46277,1,特别是彭新星、洪继华（看服务牌才知道名字）也给我们宁波市形象增色，状元楼是宁波的一扇窗口，服务员的素质更体现我们宁波人的精神面貌。,"n particular, Peng Xinxing and Hong Jihua (only know the name by looking at the service card) also add color to our image of Ningbo, the champion building is a window in Ningbo, and the quality of the waiter reflects the spiritual outlook of our Ningbo people. "
46277,2,赞一个,Like one
23691,0,我最爱他们家的猪手，麻辣鸡爪，肉片口磨，道道菜都是家常菜的味道，非常的好吃，是原来的昊烨，和长白街北的强烨饭店，是仔妹店，相同却又不是太相同，弥补了强烨的一个遗憾，就是强烨现在没有宵夜了，老妈家有宵夜，10点以后可以过来。,"I love their pork knuckles, spicy chicken feet, meat slices and mouth grinding, the dishes are all home-cooked taste, very delicious, it is the original Haoye, and the Qiangye restaurant in the north of Changbai Street, it is a sister shop, the same but not too the same, to make up for one of Qiangye's regrets, that is, Qiangye has no supper now, and there is a supper at my mother's house, and you can come over after 10 o'clock. T"
23691,1,整体用餐环境，干净整洁，简单清爽，有上下两层.,"he overall dining environment is clean and tidy, simple and refreshing, with two floors. T"
23691,2,服务也是很到位！,he service is also in place! T
23691,3,老板人超级好，特别好说话！,he owner is super nice and especially easy to talk to! N
23691,4,南京地地道道的本土菜，需要支持一下！！！,anjing's authentic local cuisine needs to be supported!! 
23691,5,适合亲朋好友稍微小聚一下，门口就是公交站台，非常方便！,"It is suitable for a small gathering of relatives and friends, and the bus stop is at the door, which is very convenient!"
23660,0,我是比较喜欢荣新馆的，因为材料新鲜，服务又好，价格适中，但是老公每次吃都会拉肚子，特神奇，我喜欢鳌虾，感觉比牡丹虾好吃，但是我们这种小胃口，一人四个也就饱了。,"I prefer Rongxinguan, because the materials are fresh, the service is good, and the price is moderate, but my husband will have diarrhea every time he eats, which is amazing, I like crayfish, and I feel better than peony shrimp, but we have a small appetite, and one person is full of four. F"
23660,1,对于不吃鱼的人来说，吃日料真的比较亏，只能吃螃蟹，海胆和海螺等带壳海鲜。,"or people who don't eat fish, it's really a loss to eat Japanese food, and they can only eat shell seafood such as crabs, sea urchins, and conchs. T"
